Employee ID,Age,Attrition,Business Travel,Department,Distance From Home,Education,Education Field,Environment Satisfaction,Gender,Job Involvement,Job Role,Job Satisfaction,Marital Status, Monthly Income ,Experience,Over Time,WorkLifeBalance,Performance Rating
52,33,No,Travel_Frequently,Sales,1,Graduate,Life Sciences,3,Female,Very High,Sales Executive,1,Married," $5,376 ",2,No,3,3
53,35,No,Travel_Rarely,Research & Development,4,Intermediate,Medical,3,Male,High,Laboratory Technician,4,Divorced," $1,951 ",1,No,3,3
54,27,No,Travel_Rarely,Research & Development,2,Masters,Life Sciences,4,Female,High,Laboratory Technician,1,Divorced," $2,341 ",1,No,3,3
55,26,Yes,Travel_Rarely,Research & Development,25,Graduate,Life Sciences,1,Male,Low,Laboratory Technician,3,Single," $2,293 ",1,No,2,3
56,27,No,Travel_Frequently,Sales,8,Graduate,Life Sciences,4,Male,High,Sales Executive,3,Single," $8,726 ",1,No,3,3
57,30,No,Travel_Frequently,Research & Development,1,Intermediate,Medical,3,Female,High,Laboratory Technician,4,Single," $4,011 ",1,No,3,4
58,41,Yes,Travel_Rarely,Research & Development,12,Graduate,Technical Degree,2,Female,High,Research Director,3,Married," $19,545 ",1,No,3,3
60,34,No,Non-Travel,Sales,23,Masters,Marketing,2,Male,High,Sales Executive,3,Single," $4,568 ",0,No,3,4
61,37,No,Travel_Rarely,Research & Development,19,Intermediate,Life Sciences,2,Male,High,Research Scientist,2,Married," $3,022 ",4,No,3,4
62,46,No,Travel_Frequently,Sales,5,Masters,Marketing,1,Male,High,Sales Executive,4,Single," $5,772 ",4,Yes,3,4
63,35,No,Travel_Rarely,Research & Development,8,SSC,Life Sciences,4,Male,Very High,Laboratory Technician,4,Married," $2,269 ",1,No,3,3
64,48,Yes,Travel_Rarely,Research & Development,1,Intermediate,Life Sciences,1,Male,Medium,Laboratory Technician,3,Single," $5,381 ",9,Yes,3,3
65,28,Yes,Travel_Rarely,Research & Development,5,Masters,Technical Degree,3,Male,High,Laboratory Technician,3,Single," $3,441 ",1,Yes,2,3
68,44,No,Travel_Rarely,Sales,1,Doctorate,Marketing,2,Female,High,Sales Executive,1,Divorced," $5,454 ",5,Yes,2,4
70,35,No,Non-Travel,Research & Development,11,Intermediate,Medical,3,Male,Medium,Healthcare Representative,1,Married," $9,884 ",2,Yes,3,3
72,26,No,Travel_Rarely,Sales,23,Graduate,Marketing,3,Female,Medium,Sales Executive,4,Married," $4,157 ",7,Yes,2,3
73,33,No,Travel_Frequently,Research & Development,1,Intermediate,Life Sciences,1,Female,High,Research Director,4,Single," $13,458 ",1,Yes,3,3
74,35,No,Travel_Frequently,Sales,18,Doctorate,Life Sciences,2,Male,High,Sales Executive,1,Married," $9,069 ",1,No,2,4
75,35,No,Travel_Rarely,Research & Development,23,Masters,Medical,3,Female,High,Laboratory Technician,1,Married," $4,014 ",3,Yes,3,3
76,31,No,Travel_Rarely,Research & Development,7,Masters,Life Sciences,4,Male,High,Laboratory Technician,4,Divorced," $5,915 ",3,No,2,4
77,37,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,1,Male,Medium,Manufacturing Director,3,Divorced," $5,993 ",1,No,4,3
78,32,No,Travel_Rarely,Research & Development,1,Graduate,Medical,1,Male,High,Manufacturing Director,4,Married," $6,162 ",1,Yes,3,4
79,38,No,Travel_Frequently,Research & Development,29,Doctorate,Life Sciences,4,Female,High,Laboratory Technician,4,Single," $2,406 ",1,No,3,3
80,50,No,Travel_Rarely,Research & Development,7,Intermediate,Medical,2,Female,Medium,Research Director,3,Divorced," $18,740 ",5,Yes,2,3
81,59,No,Travel_Rarely,Sales,25,Graduate,Life Sciences,1,Female,High,Sales Executive,1,Single," $7,637 ",7,No,2,3
83,36,No,Travel_Rarely,Research & Development,8,Graduate,Technical Degree,3,Female,High,Healthcare Representative,3,Divorced," $10,096 ",1,No,3,3
84,55,No,Travel_Rarely,Research & Development,8,Graduate,Medical,4,Female,High,Manager,3,Divorced," $14,756 ",2,Yes,3,3
85,36,No,Travel_Frequently,Research & Development,11,Graduate,Life Sciences,2,Male,Medium,Manufacturing Director,2,Single," $6,499 ",1,No,3,3
86,45,No,Travel_Rarely,Research & Development,7,Graduate,Life Sciences,2,Male,High,Research Scientist,1,Divorced," $9,724 ",2,No,3,3
88,35,No,Travel_Frequently,Research & Development,1,Graduate,Medical,2,Male,High,Research Scientist,1,Married," $2,194 ",4,No,2,3
90,36,Yes,Travel_Rarely,Research & Development,9,Graduate,Medical,4,Male,Medium,Research Scientist,3,Married," $3,388 ",0,Yes,2,3
91,59,No,Travel_Frequently,Sales,1,SSC,Life Sciences,1,Female,Medium,Sales Executive,3,Single," $5,473 ",7,No,2,3
94,29,No,Travel_Rarely,Research & Development,2,Graduate,Life Sciences,3,Male,High,Research Scientist,2,Married," $2,703 ",0,No,3,4
95,31,No,Travel_Rarely,Research & Development,1,Masters,Medical,3,Male,High,Research Scientist,2,Single," $2,501 ",1,No,3,3
96,32,No,Travel_Rarely,Research & Development,1,Graduate,Life Sciences,2,Male,High,Research Scientist,2,Married," $6,220 ",1,No,3,3
97,36,No,Travel_Rarely,Research & Development,6,Graduate,Life Sciences,2,Female,Very High,Laboratory Technician,4,Married," $3,038 ",3,No,3,3
98,31,No,Travel_Rarely,Research & Development,8,Masters,Life Sciences,3,Female,High,Manufacturing Director,4,Single," $4,424 ",1,No,3,4
100,35,No,Travel_Rarely,Sales,1,Masters,Marketing,3,Male,Medium,Sales Executive,1,Single," $4,312 ",0,No,3,3
101,45,No,Travel_Rarely,Research & Development,6,Masters,Medical,4,Male,High,Research Director,1,Married," $13,245 ",4,Yes,4,3
102,37,No,Travel_Rarely,Research & Development,7,Masters,Medical,1,Male,High,Research Director,3,Single," $13,664 ",4,No,4,3
103,46,No,Travel_Rarely,Human Resources,5,Intermediate,Medical,2,Male,High,Human Resources,2,Divorced," $5,021 ",8,Yes,3,4
104,30,No,Travel_Rarely,Research & Development,1,SSC,Life Sciences,4,Male,Medium,Laboratory Technician,4,Married," $5,126 ",1,Yes,2,3
105,35,No,Travel_Rarely,Research & Development,1,Graduate,Medical,2,Male,Medium,Research Scientist,3,Single," $2,859 ",1,No,3,3
106,55,No,Travel_Rarely,Sales,1,Intermediate,Life Sciences,1,Male,High,Sales Executive,4,Married," $10,239 ",3,No,3,3
107,38,No,Non-Travel,Research & Development,6,Graduate,Medical,2,Female,Low,Research Scientist,4,Divorced," $5,329 ",7,Yes,3,3
110,34,No,Travel_Rarely,Research & Development,1,Intermediate,Medical,1,Male,High,Manufacturing Director,2,Married," $4,325 ",1,No,3,3
112,56,No,Travel_Rarely,Research & Development,7,Graduate,Life Sciences,4,Male,Low,Manufacturing Director,4,Single," $7,260 ",4,No,2,3
113,23,No,Travel_Rarely,Sales,2,SSC,Technical Degree,3,Male,High,Sales Representative,1,Divorced," $2,322 ",3,No,3,3
116,51,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,4,Male,High,Laboratory Technician,4,Married," $2,075 ",3,No,3,4
117,30,No,Travel_Rarely,Research & Development,2,Graduate,Life Sciences,3,Male,Medium,Healthcare Representative,4,Married," $4,152 ",1,No,3,3
118,46,Yes,Travel_Rarely,Sales,9,Intermediate,Medical,3,Male,Medium,Sales Executive,4,Single," $9,619 ",1,No,3,3
119,40,No,Travel_Frequently,Research & Development,1,Masters,Life Sciences,3,Male,Medium,Healthcare Representative,2,Married," $13,503 ",1,No,2,4
120,51,No,Travel_Rarely,Sales,21,Masters,Marketing,3,Male,High,Sales Executive,4,Single," $5,441 ",0,Yes,1,4
121,30,No,Travel_Rarely,Sales,4,Intermediate,Medical,3,Female,Medium,Sales Executive,2,Divorced," $5,209 ",1,Yes,2,3
124,46,No,Travel_Frequently,Research & Development,1,Graduate,Medical,3,Male,Medium,Healthcare Representative,1,Married," $10,673 ",2,Yes,2,3
125,32,No,Travel_Rarely,Sales,6,Masters,Medical,2,Male,High,Sales Executive,3,Single," $5,010 ",1,No,3,3
126,54,No,Travel_Rarely,Research & Development,2,Masters,Technical Degree,1,Female,High,Research Director,3,Married," $13,549 ",9,No,1,3
128,24,No,Travel_Rarely,Sales,3,Intermediate,Medical,1,Female,High,Sales Executive,3,Married," $4,999 ",0,No,2,4
129,28,No,Non-Travel,Sales,4,Graduate,Medical,2,Male,High,Sales Executive,3,Married," $4,221 ",1,No,4,3
131,58,No,Travel_Rarely,Sales,10,Masters,Medical,4,Male,High,Sales Executive,3,Single," $13,872 ",0,No,2,3
132,44,No,Non-Travel,Research & Development,23,Graduate,Medical,2,Male,High,Laboratory Technician,2,Married," $2,042 ",4,No,4,3
133,37,Yes,Travel_Rarely,Human Resources,6,Masters,Human Resources,3,Male,High,Human Resources,1,Divorced," $2,073 ",4,Yes,3,4
134,32,No,Travel_Rarely,Research & Development,1,SSC,Life Sciences,4,Male,High,Research Scientist,1,Single," $2,956 ",1,No,3,3
137,20,Yes,Travel_Frequently,Research & Development,6,Graduate,Life Sciences,4,Female,Medium,Laboratory Technician,4,Single," $2,926 ",1,Yes,3,3
138,34,No,Travel_Rarely,Research & Development,6,Masters,Medical,1,Female,High,Research Scientist,3,Single," $4,809 ",1,No,3,3
139,37,No,Non-Travel,Research & Development,2,Intermediate,Life Sciences,3,Male,Medium,Healthcare Representative,4,Divorced," $5,163 ",5,No,4,3
140,59,No,Non-Travel,Human Resources,2,Masters,Human Resources,3,Female,Medium,Manager,4,Married," $18,844 ",9,No,3,4
141,50,No,Travel_Frequently,Research & Development,1,Graduate,Life Sciences,1,Female,High,Research Director,2,Married," $18,172 ",3,Yes,2,3
142,25,Yes,Travel_Rarely,Sales,5,Graduate,Marketing,3,Male,Medium,Sales Executive,3,Single," $5,744 ",1,Yes,3,3
143,25,No,Travel_Rarely,Research & Development,7,SSC,Medical,4,Male,Medium,Research Scientist,4,Married," $2,889 ",1,No,3,3
144,22,No,Travel_Rarely,Research & Development,15,Graduate,Medical,2,Female,High,Laboratory Technician,4,Single," $2,871 ",1,No,3,3
145,51,No,Travel_Frequently,Research & Development,1,Masters,Medical,1,Female,Medium,Healthcare Representative,1,Single," $7,484 ",3,No,2,4
147,34,Yes,Travel_Frequently,Research & Development,7,Graduate,Life Sciences,1,Male,Low,Laboratory Technician,3,Single," $6,074 ",1,Yes,3,4
148,54,No,Non-Travel,Human Resources,26,Graduate,Human Resources,4,Female,Very High,Manager,4,Single," $17,328 ",2,Yes,3,3
150,24,No,Travel_Rarely,Research & Development,18,SSC,Life Sciences,2,Male,High,Laboratory Technician,3,Married," $2,774 ",0,No,3,3
151,34,No,Travel_Rarely,Research & Development,6,Masters,Life Sciences,3,Female,Medium,Research Scientist,2,Divorced," $4,505 ",6,No,3,3
152,37,No,Travel_Rarely,Sales,3,Graduate,Life Sciences,3,Male,High,Sales Executive,4,Single," $7,428 ",2,No,3,3
153,34,No,Travel_Rarely,Research & Development,5,Graduate,Medical,3,Female,Medium,Manager,1,Single," $11,631 ",2,No,3,3
154,36,No,Travel_Frequently,Sales,11,Intermediate,Technical Degree,2,Female,High,Sales Executive,4,Married," $9,738 ",0,No,3,3
155,36,No,Travel_Rarely,Research & Development,3,Intermediate,Life Sciences,1,Female,High,Laboratory Technician,4,Divorced," $2,835 ",5,No,3,4
158,43,No,Travel_Frequently,Sales,26,Intermediate,Life Sciences,3,Male,High,Manager,4,Married," $16,959 ",1,Yes,4,3
159,30,No,Travel_Frequently,Research & Development,23,Graduate,Life Sciences,1,Male,Low,Research Scientist,3,Divorced," $2,613 ",1,No,2,4
160,33,No,Non-Travel,Sales,22,Intermediate,Marketing,3,Male,High,Sales Executive,2,Married," $6,146 ",0,No,4,3
161,56,Yes,Travel_Rarely,Research & Development,14,Masters,Life Sciences,2,Female,High,Research Scientist,2,Married," $4,963 ",9,Yes,3,3
162,51,No,Travel_Rarely,Research & Development,6,Graduate,Life Sciences,1,Male,High,Research Director,3,Single," $19,537 ",7,No,3,3
163,31,Yes,Travel_Rarely,Sales,6,Masters,Life Sciences,2,Male,Low,Sales Executive,3,Married," $6,172 ",4,Yes,2,3
164,26,No,Travel_Rarely,Research & Development,6,Graduate,Medical,3,Female,Medium,Research Scientist,2,Married," $2,368 ",1,No,2,3
165,58,Yes,Travel_Rarely,Research & Development,23,Masters,Medical,4,Female,High,Healthcare Representative,4,Married," $10,312 ",1,No,2,3
167,19,Yes,Travel_Rarely,Sales,22,SSC,Marketing,4,Male,High,Sales Representative,3,Single," $1,675 ",1,Yes,2,3
169,22,No,Travel_Rarely,Research & Development,2,SSC,Technical Degree,3,Male,High,Laboratory Technician,4,Married," $2,523 ",0,No,3,3
170,49,No,Travel_Rarely,Research & Development,20,Masters,Medical,3,Female,High,Manufacturing Director,1,Married," $6,567 ",1,No,2,3
171,43,No,Travel_Frequently,Research & Development,28,Graduate,Medical,2,Female,Very High,Research Scientist,3,Single," $4,739 ",4,No,3,3
174,50,No,Travel_Frequently,Sales,12,Graduate,Marketing,3,Female,High,Sales Executive,4,Single," $9,208 ",4,No,3,3
175,31,Yes,Travel_Rarely,Sales,20,Graduate,Life Sciences,2,Female,Low,Sales Executive,3,Married," $4,559 ",3,Yes,3,3
176,41,No,Travel_Rarely,Sales,9,SSC,Life Sciences,3,Male,High,Sales Executive,3,Divorced," $8,189 ",3,Yes,3,3
177,26,No,Travel_Rarely,Human Resources,25,SSC,Life Sciences,3,Female,High,Human Resources,3,Married," $2,942 ",1,No,3,4
178,36,No,Travel_Rarely,Research & Development,6,Intermediate,Medical,2,Male,High,Manufacturing Director,2,Divorced," $4,941 ",6,No,3,4
179,51,Yes,Travel_Frequently,Research & Development,8,Masters,Life Sciences,1,Male,Low,Manufacturing Director,4,Single," $10,650 ",2,No,3,3
182,39,No,Travel_Rarely,Sales,4,Masters,Life Sciences,4,Female,Medium,Sales Executive,3,Married," $5,902 ",4,No,4,3
183,25,No,Travel_Rarely,Sales,28,Graduate,Life Sciences,1,Male,Medium,Sales Executive,3,Married," $8,639 ",2,No,3,3
184,30,No,Travel_Rarely,Human Resources,9,Graduate,Human Resources,3,Male,High,Human Resources,4,Married," $6,347 ",0,Yes,1,3
190,32,Yes,Travel_Rarely,Research & Development,9,Graduate,Medical,1,Female,High,Laboratory Technician,1,Single," $4,200 ",7,No,4,4
192,45,No,Travel_Rarely,Research & Development,29,Graduate,Medical,3,Male,High,Research Scientist,4,Single," $3,452 ",5,No,2,3
193,38,No,Travel_Rarely,Research & Development,3,Doctorate,Technical Degree,4,Female,High,Research Scientist,3,Single," $4,317 ",3,Yes,3,4
194,30,No,Travel_Rarely,Research & Development,18,Graduate,Life Sciences,1,Female,High,Research Scientist,3,Single," $2,632 ",1,No,2,3
195,32,No,Travel_Frequently,Sales,9,Intermediate,Medical,4,Male,Low,Sales Executive,4,Divorced," $4,668 ",0,No,4,3
197,30,No,Travel_Rarely,Research & Development,5,Graduate,Technical Degree,4,Female,High,Research Scientist,1,Divorced," $3,204 ",5,No,3,3
198,30,No,Travel_Rarely,Research & Development,2,SSC,Medical,2,Male,Medium,Laboratory Technician,4,Single," $2,720 ",0,No,3,3
199,41,No,Travel_Frequently,Research & Development,10,Graduate,Life Sciences,4,Male,Medium,Manager,1,Divorced," $17,181 ",4,No,2,3
200,41,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,3,Male,High,Laboratory Technician,1,Married," $2,238 ",2,No,3,4
201,19,No,Travel_Rarely,Research & Development,3,SSC,Medical,2,Female,High,Laboratory Technician,2,Single," $1,483 ",1,No,3,3
202,40,No,Travel_Frequently,Research & Development,26,Graduate,Medical,2,Female,High,Research Scientist,2,Divorced," $5,605 ",1,No,3,3
204,35,No,Travel_Rarely,Sales,1,Doctorate,Marketing,3,Male,High,Sales Executive,2,Married," $7,295 ",1,No,3,3
205,53,No,Travel_Rarely,Sales,6,Intermediate,Marketing,2,Male,High,Sales Representative,3,Married," $2,306 ",2,Yes,1,4
206,45,No,Travel_Rarely,Research & Development,9,Graduate,Life Sciences,2,Male,High,Laboratory Technician,2,Divorced," $2,348 ",8,No,1,3
207,32,No,Travel_Frequently,Sales,8,Graduate,Marketing,2,Female,High,Sales Executive,4,Single," $8,998 ",1,No,3,3
208,29,No,Non-Travel,Research & Development,1,SSC,Technical Degree,4,Male,High,Manufacturing Director,3,Married," $4,319 ",1,No,3,3
211,51,No,Travel_Rarely,Research & Development,7,Masters,Medical,2,Male,Medium,Manufacturing Director,3,Married," $6,132 ",2,No,3,3
214,58,No,Travel_Rarely,Research & Development,9,Graduate,Medical,2,Female,Medium,Research Scientist,2,Married," $3,346 ",4,Yes,2,4
215,40,No,Travel_Rarely,Sales,4,Masters,Marketing,3,Male,Medium,Sales Executive,4,Married," $10,855 ",7,No,2,3
216,34,No,Travel_Frequently,Sales,2,Masters,Marketing,3,Female,High,Sales Representative,3,Married," $2,231 ",6,No,3,3
217,22,No,Travel_Rarely,Research & Development,19,SSC,Medical,3,Male,High,Research Scientist,4,Married," $2,323 ",1,No,3,4
218,27,No,Non-Travel,Research & Development,9,Graduate,Medical,4,Male,High,Research Scientist,2,Divorced," $2,024 ",6,No,1,3
221,28,No,Travel_Rarely,Research & Development,21,Graduate,Medical,3,Male,High,Research Scientist,4,Married," $2,713 ",1,No,1,3
223,57,No,Travel_Rarely,Research & Development,24,Intermediate,Life Sciences,3,Male,Very High,Healthcare Representative,4,Divorced," $9,439 ",3,Yes,1,3
224,27,No,Non-Travel,Research & Development,3,Graduate,Medical,3,Male,Medium,Research Scientist,3,Divorced," $2,566 ",1,Yes,2,3
226,50,No,Travel_Rarely,Research & Development,11,Graduate,Life Sciences,3,Female,High,Manager,2,Single," $19,926 ",3,No,3,3
227,41,No,Travel_Rarely,Research & Development,14,Graduate,Life Sciences,1,Male,High,Research Scientist,3,Divorced," $2,451 ",4,No,3,3
228,30,No,Travel_Rarely,Sales,5,Graduate,Life Sciences,2,Female,High,Sales Executive,4,Married," $9,419 ",2,No,3,3
230,38,No,Travel_Rarely,Sales,1,Masters,Life Sciences,1,Female,Medium,Sales Executive,4,Single," $8,686 ",4,No,4,4
231,32,No,Travel_Rarely,Research & Development,6,Doctorate,Life Sciences,3,Male,High,Research Scientist,3,Single," $3,038 ",3,No,3,4
233,27,No,Travel_Rarely,Research & Development,17,Graduate,Technical Degree,3,Male,High,Research Scientist,2,Married," $3,058 ",0,Yes,2,3
235,19,Yes,Travel_Frequently,Sales,1,SSC,Technical Degree,3,Female,Low,Sales Representative,1,Single," $2,325 ",0,No,4,4
238,36,No,Travel_Frequently,Research & Development,3,Intermediate,Medical,4,Male,High,Laboratory Technician,2,Single," $2,088 ",4,No,2,3
239,30,No,Non-Travel,Research & Development,9,Graduate,Medical,3,Male,High,Laboratory Technician,1,Divorced," $3,072 ",1,No,3,3
240,45,No,Travel_Rarely,Sales,4,Intermediate,Life Sciences,3,Female,High,Sales Executive,1,Divorced," $5,006 ",4,Yes,4,3
241,56,No,Travel_Rarely,Research & Development,8,Graduate,Life Sciences,3,Female,High,Research Scientist,1,Divorced," $4,257 ",4,Yes,3,3
242,33,No,Travel_Rarely,Research & Development,2,Graduate,Life Sciences,3,Male,High,Research Scientist,4,Single," $2,500 ",0,No,4,3
243,19,Yes,Travel_Rarely,Research & Development,2,Graduate,Life Sciences,2,Male,Medium,Laboratory Technician,4,Single," $1,102 ",1,No,2,4
244,46,No,Travel_Rarely,Sales,1,Intermediate,Marketing,2,Female,High,Sales Executive,1,Divorced," $10,453 ",1,No,3,4
245,38,No,Travel_Rarely,Research & Development,9,Intermediate,Life Sciences,3,Female,High,Laboratory Technician,4,Single," $2,288 ",1,No,3,3
246,31,No,Travel_Rarely,Research & Development,12,SSC,Medical,3,Female,High,Research Scientist,4,Married," $3,929 ",8,Yes,3,4
247,34,No,Travel_Rarely,Research & Development,27,Intermediate,Medical,4,Female,High,Research Scientist,2,Single," $2,311 ",2,No,3,3
248,41,Yes,Travel_Rarely,Sales,20,Intermediate,Marketing,2,Female,High,Sales Representative,2,Single," $3,140 ",1,Yes,2,4
249,50,No,Travel_Rarely,Research & Development,1,Graduate,Medical,3,Male,Medium,Laboratory Technician,3,Married," $3,690 ",2,No,2,3
250,53,No,Travel_Rarely,Research & Development,13,Intermediate,Medical,4,Female,Very High,Manufacturing Director,1,Divorced," $4,450 ",1,No,3,3
252,33,No,Travel_Rarely,Research & Development,14,Graduate,Medical,4,Female,High,Research Scientist,2,Married," $2,756 ",1,No,3,3
253,40,No,Travel_Rarely,Research & Development,4,SSC,Medical,4,Female,High,Manager,3,Married," $19,033 ",1,No,3,3
254,55,No,Travel_Rarely,Research & Development,14,Masters,Medical,3,Male,Very High,Research Director,2,Single," $18,722 ",8,No,3,3
256,34,No,Travel_Frequently,Research & Development,2,SSC,Life Sciences,4,Male,Medium,Manufacturing Director,3,Married," $9,547 ",1,No,2,3
258,51,No,Travel_Rarely,Research & Development,3,Graduate,Medical,4,Female,High,Healthcare Representative,2,Single," $13,734 ",3,No,3,3
259,52,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,3,Male,Medium,Manager,3,Married," $19,999 ",0,No,3,3
260,27,No,Travel_Rarely,Research & Development,9,Graduate,Medical,4,Female,High,Research Scientist,2,Single," $2,279 ",1,No,2,3
261,35,Yes,Travel_Rarely,Research & Development,23,Intermediate,Life Sciences,2,Male,Medium,Manufacturing Director,3,Married," $5,916 ",3,Yes,3,3
262,43,No,Non-Travel,Research & Development,7,Graduate,Medical,4,Male,Very High,Research Scientist,4,Divorced," $2,089 ",4,No,4,3
264,45,No,Non-Travel,Research & Development,2,Intermediate,Medical,1,Male,Medium,Manager,4,Married," $16,792 ",9,No,3,4
267,37,No,Travel_Rarely,Research & Development,21,Graduate,Life Sciences,2,Male,Very High,Research Scientist,1,Married," $3,564 ",1,Yes,2,3
269,35,No,Travel_Frequently,Research & Development,2,Graduate,Medical,2,Female,High,Laboratory Technician,2,Single," $4,425 ",5,No,3,3
270,42,No,Non-Travel,Research & Development,21,Intermediate,Medical,3,Female,High,Manufacturing Director,3,Divorced," $5,265 ",2,No,3,3
